"","Year","Population","Subrigion","RiverBasin","logspawners","logrecruits","spawn.error","rec.error","SummerSST","WinterSST","MarineCompetitorsIndex","IceConcentrationIndex","BodySize","Uwind","RiverIceBreakup","maxq_spawn","medq_rear","maxDaily_spawn_stand","maxDaily_migrate","cdd_rear"
"597",2011,"Teslin","Yukon (CA)","Yukon",8.44799355704209,10.0572690173973,0.108721322396508,0.080505114177093,0.656020068631884,0.400999704018723,0.869724828731911,1.3940309716524,-0.957061749944225,-0.677629351132671,1.92749412999199,-0.910638027136504,1.25281252265592,-0.00556305005132402,-1.1245851250511,-1.38852017896694
"598",2012,"Teslin","Yukon (CA)","Yukon",8.57771238602887,9.49529383796036,0.0931435193000683,0.10595632750871,0.684645120139059,1.02635855439462,1.28723628360689,-1.1078057809258,-0.11427724685083,0.789675236200662,-0.652676230155703,1.30533804232215,0.173947220600224,-1.38852017896694,-1.05774442291058,1.17336873838257
"599",2013,"Teslin","Yukon (CA)","Yukon",8.9490646512543,8.8832890751616,0.0724817185409809,0.198487424232962,1.04722910589661,1.5760910898956,1.45963112202289,-1.11680518479609,-0.680329879207793,1.93087840120066,-0.255726943979134,-0.293276898165145,-0.2912820587647,1.17336873838257,0.621519084881157,-0.181244403695462
"600",2014,"Teslin","Yukon (CA)","Yukon",8.90402473044425,9.13018039847241,0.0857952197099609,0.369076629805313,3.02322508569495,0.909103769949138,1.50121983002607,-1.12580458866638,-1.03651368927032,1.79354898186733,-2.43894801795026,-0.351928901185259,-0.147108377848222,-0.181244403695462,-0.425532149122722,0.443208717012355
"601",2015,"Teslin","Yukon (CA)","Yukon",8.9123998325055,9.51471027965106,0.0706517320430411,0.80043375501789,0.498148572440796,1.63648090735669,1.48911303731073,-0.432849815698314,-0.544410373113804,0.151237209867329,-0.454201587067419,-0.953609844484011,-0.334765251387988,0.443208717012355,0.611668165902293,1.43536223986889
"602",1991,"Tuluksak","Kuskokwim","Kuskokwim",6.51412864345163,7.38666174459853,0.0468301920234293,0.634515353777429,0.561805814300154,0.268640913441283,0.23967891272426,-0.459848028209116,0.20214769654752,1.76418042220066,-0.978765699640318,-1.14013731109043,-0.682014519775786,-0.594341270786395,0.0568958994106173,-1.29122579669947
"603",1992,"Tuluksak","Kuskokwim","Kuskokwim",6.92112671711857,6.89171522577281,0.0429776836163604,0.668247366422898,1.3136036236548,-0.840046133157339,0.662912275127818,-0.441849219568601,0.338248854729961,1.29914490420066,-0.401715627290017,-0.727088997250112,1.13891715348873,-1.29122579669947,0.364017020313794,0.185734285091988
"604",1993,"Tuluksak","Kuskokwim","Kuskokwim",7.74506808633292,8.2454955043557,0.0437077325184422,0.461348106483421,-0.408171079587487,0.768520328259355,0.87285227026053,0.521087951189696,0.328891266140669,-1.330623288466,-0.517125641760077,1.0391034718155,1.27198062665026,0.185734285091988,1.39627287494257,-0.851948780928179
"605",1994,"Tuluksak","Kuskokwim","Kuskokwim",8.02927264692664,7.34843590348914,0.0484218443058508,0.513636804281316,0.0886463538671587,-0.837131324956434,0.379401206566278,-0.927817480334625,0.360307379925145,-0.487292726466005,-0.170895598349896,0.405479935179832,0.845218496510581,-0.851948780928179,-1.42469319555961,1.02582207730731
"606",1995,"Tuluksak","Kuskokwim","Kuskokwim",8.44895281835809,7.0930016882048,0.125636981097736,0.138499654264828,0.0557880580037557,-0.972404923734779,0.1332784847373,0.431093827892345,0.352492657139844,0.651356856200662,-0.978765699640318,-0.345324188565862,-0.487813775161664,1.02582207730731,0.141622254294927,0.394249809178169
"607",1996,"Tuluksak","Kuskokwim","Kuskokwim",7.70010340886867,7.4596806689077,0.229312428651021,0.0992776799914421,-0.0191288565648025,-0.690993441065626,-0.26192409142034,0.773071539439472,0.187642788192855,1.97658109686733,-0.517125641760077,-0.14489766400663,-1.06202461880465,0.394249809178169,1.4719001829094,0.629699521161979
"608",1997,"Tuluksak","Kuskokwim","Kuskokwim",7.45984625712709,7.08410411381508,0.405542508971692,0.0881796540282821,-1.94988232149833,-1.61212961452942,-0.38443950400784,0.935060923397181,-0.677266790381712,-0.790827154799338,0.867794531880645,-0.563248266856455,0.489183798051357,0.629699521161979,0.637488476398253,0.223542085927486
"609",1998,"Tuluksak","Kuskokwim","Kuskokwim",7.27061555118946,7.54577453930861,0.434413158349187,0.0640648576913382,-0.505431635343158,1.75068839231941,-0.105968146962429,0.692076793014169,-1.05818377560981,-0.194070259132671,-0.0554855838798361,-0.38774250064189,0.194286371044728,0.223542085927486,-0.573622147035317,0.299993358403952
"610",1999,"Tuluksak","Kuskokwim","Kuskokwim",7.08362153340021,7.84324723144238,0.370695513344659,0.0544184621280453,-1.34134668210812,-0.934909890968597,-0.116923799409464,-1.12580458866638,-0.106185171401277,0.439467589533995,0.636974502940525,-1.1714208162465,0.158323270190261,0.299993358403952,0.00261640236884231,0.251957242278161
"611",2000,"Tuluksak","Kuskokwim","Kuskokwim",6.46251280046324,7.62587187612149,0.266976471892767,0.0609068238538908,-2.22720633858545,1.23874207921508,0.226912612046073,-0.369853904911765,-0.13581214951335,-0.705744345466004,0.406154474000405,-0.437053788430272,0.477196097766535,0.251957242278161,1.58815350831143,-1.38053003440067
