"","marine","Year"
"1",-0.170710039809026,1983
"2",-0.0774660714013344,1984
"3",0.0610331758463025,1985
"4",0.0835197477304722,1986
"5",0.0286805681723645,1987
"6",0.108203846466512,1988
"7",0.101950442393891,1989
"8",0.168833828221512,1990
"9",0.167100301296093,1991
"10",0.151857304778092,1992
"11",0.436629038619175,1993
"12",0.681572582131931,1994
"13",0.841343398970055,1995
"14",0.920595857516464,1996
"15",0.734317821521518,1997
"16",0.641406364622846,1998
"17",0.492217184330791,1999
"18",0.445967551661946,2000
"19",0.551090635363327,2001
"20",0.546954870804227,2002
"21",0.676753296913555,2003
"22",0.74027879609601,2004
"23",0.726477698650894,2005
"24",0.720519620426806,2006
"25",0.648187114235745,2007
"26",0.563279252907385,2008
"27",0.739904811134443,2009
"28",0.674745004361948,2010
"29",0.683410103886496,2011
"30",0.761092981528793,2012
"31",0.88417547243361,2013
"32",0.919415246695041,2014
"33",1.07702604043262,2015
"34",1.1421051825777,2016
"35",1.15780494171572,2017
"36",1.15323462110008,2018
"37",1.14517869132445,2019
"38",1.13287204355936,2020
