YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,PDO_Annual_Mean
1932,-0.26,-0.58,0.51,1.15,0.64,0.1,-0.12,-0.14,-0.4,-0.29,-0.88,0.02,-0.000902778
1933,0.29,0.02,0.15,-0.05,-0.5,-0.68,-1.81,-1.56,-2.28,-1.19,0.55,-1.1,-0.760833333
1934,0.17,0.68,1.34,1.63,1.23,0.51,0.44,1.54,1.25,2.1,1.63,1.67,1.266875
1935,1.01,0.79,-0.11,1.1,0.99,1.39,0.68,0.63,0.98,0.21,0.13,1.78,0.780694444
1936,1.79,1.75,1.36,1.32,1.83,2.37,2.57,1.71,0.04,2.1,2.65,1.28,1.725902778
1937,0,-0.49,0.38,0.2,0.53,1.75,0.11,-0.35,0.63,0.76,-0.18,0.55,0.351180556
1938,0.5,0.02,0.24,0.27,-0.25,-0.2,-0.21,-0.45,-0.01,0.07,0.48,1.4,0.12625
1939,1.36,0.07,-0.39,0.45,0.98,1.04,-0.21,-0.74,-1.1,-1.31,-0.88,1.51,-0.042916667
1940,2.03,1.74,1.89,2.37,2.32,2.43,2.12,1.4,1.1,1.19,0.68,1.96,1.747430556
1941,2.14,2.07,2.41,1.89,2.25,3.01,2.33,3.31,1.99,1.22,0.4,0.91,1.982013889
1942,1.01,0.79,0.29,0.79,0.84,1.19,0.12,0.44,0.68,0.54,-0.1,-1,0.420486111
1943,-0.18,0.02,0.26,1.08,0.43,0.68,-0.36,-0.9,-0.49,-0.04,0.29,0.58,0.138680556
1944,0.18,0.17,0.08,0.72,-0.35,-0.98,-0.4,-0.51,-0.56,-0.4,0.33,0.2,-0.152222222
1945,-1.02,0.72,-0.42,-0.4,-0.07,0.56,1.02,0.18,-0.27,0.1,-1.94,-0.74,-0.120833333
1946,-0.91,-0.32,-0.41,-0.78,0.5,-0.86,-0.84,-0.36,-0.22,-0.36,-1.48,-0.96,-0.556111111
1947,-0.73,-0.29,1.17,0.7,0.37,1.36,0.16,0.3,0.58,0.85,-0.14,1.67,0.6025
1948,-0.11,-0.74,-0.03,-1.33,-0.23,0.08,-0.92,-1.56,-1.74,-1.32,-0.89,-1.7,-0.937847222
