"","Population","Region","year","max5dprcp_spawn","mnprcp_rear","maxq_spawn","medq_rear","mean_swe","cdd_rear","maxDaily_spawn","maxDaily_migrate","maxWeekly_migrate","daysGT17_migrate","cddGT17_migrate"
"1","Aniak","Kuskokwim",1980,201818.430030346,15969.6713728743,186.09375,173.45312,29.1512224007112,1265.4304057606,11.4229023501941,15.1363948582575,14.2370984878323,0,0.36497223887606
"2","Aniak","Kuskokwim",1981,175514.319973707,10944.3740779497,197.17188,80.234375,113.858233678106,1339.39201410343,11.8709147717038,16.5228919431197,15.6544368386116,0,6.86026069516965
"3","Aniak","Kuskokwim",1982,297488.630031109,16279.8803909952,252.15625,144.15625,160.380024081873,1313.17627512384,12.5603201488434,15.2905683025074,14.724418120955,0,8.6244161118531
"4","Aniak","Kuskokwim",1983,239011.210031033,7881.74907968472,230.63281,62.296875,19.0484965898482,1316.32610819199,11.0082342169763,17.4170703774293,16.9587192299392,3,0.992141383704112
"5","Aniak","Kuskokwim",1984,208860.179977894,7987.31346022791,108.296875,57.5625,95.1705479998992,1310.27659791514,11.1110562782404,16.4643453325383,15.5855089753338,0,3.64015182610712
"6","Aniak","Kuskokwim",1985,307925.720023155,11845.9701996932,276.71875,137.82812,111.399197058905,1268.53566735975,11.8839562108549,14.4694307706558,13.5446133991699,0,8.13516978051337
"7","Aniak","Kuskokwim",1986,229570.040112257,11003.6749348613,249.375,112.890625,16.0297772040428,1320.51545379537,10.7004624264317,16.4023698166387,16.0169021610686,0,1.21657412958687
"8","Aniak","Kuskokwim",1987,239084.820090771,9505.76019816935,121.21094,101.84375,137.256957082852,1274.79977904484,11.739991359747,14.8292617906875,14.2729810506452,0,2.61180874936399
"9","Aniak","Kuskokwim",1988,214973.829556704,10880.7245064261,161.79688,86.34375,265.736019532683,1441.55499584413,12.1661498286414,17.4012227603863,16.3134079798049,2,0.548475988193275
"10","Aniak","Kuskokwim",1989,274695.589993,14194.5144142195,247.3125,160.71875,166.69074865806,1393.93130997925,12.16786687164,15.7344198010231,15.2340541760069,0,0
"11","Aniak","Kuskokwim",1990,258450.920075893,14637.7019692412,247,93.65625,359.221714128504,1459.8233321495,12.3651628738858,16.6645871898364,15.8550911087953,0,0
"12","Aniak","Kuskokwim",1991,140494.030028343,7916.59427826459,202.26562,122.625,152.573356239444,1363.66650760652,12.1448821874959,16.55824183581,16.2389051375147,0,0
"13","Aniak","Kuskokwim",1992,222856.759934455,10948.372284645,189.65625,69.328125,167.162679594906,1442.86245833063,12.6484803087811,17.0206989324255,16.752450658494,1,19.5131790790787
"14","Aniak","Kuskokwim",1993,241829.319962502,11490.7493447832,266.17188,133.64062,130.348081089511,1348.34043797037,11.5040986988958,17.9793097400625,17.2758658886597,5,2.93732077838476
"15","Aniak","Kuskokwim",1994,319191.259998083,11127.3247391356,249.59375,153.21875,184.14933952353,1422.11365060916,12.3163179761096,14.65392551143,14.0333236295732,0,0
"16","Aniak","Kuskokwim",1995,255383.029869556,16288.101513837,234.67188,156.64062,51.8171698291921,1364.50733252897,11.3399078695012,17.6062805710671,16.2246648427419,1,0.606280571067117
"17","Aniak","Kuskokwim",1996,152701.039975524,10116.0984968683,169.65625,101.21875,71.1757386367228,1347.65610735712,11.6610001050152,18.0932224695521,17.9531203489368,20,13.0306314619987
"18","Aniak","Kuskokwim",1997,221927.980763435,9015.14539355373,264.76562,47.59375,122.352777959639,1417.70166444845,11.6804428539229,17.6120540184071,17.2854863905145,10,3.1108274017763
"19","Aniak","Kuskokwim",1998,201148.859759331,14046.0067713514,170,108.4375,87.2686652455738,1292.66333195852,11.9417025321043,15.4969569595465,15.2751712838791,0,2.72823728110169
"20","Aniak","Kuskokwim",1999,280093.489962816,13225.6290781708,177.5,93.21875,60.4836611906624,1352.22582979421,11.933189855807,15.9565949798278,15.6185825382108,0,0
"21","Aniak","Kuskokwim",2000,190673.829987407,12540.1423509924,132.63281,92.90625,95.5257547417591,1316.11732396766,11.7547561850454,18.2807984543894,17.6918139132344,16,8.58575370877115
