"quantity","pop","year","mean","sd"
"alpha","Carmacks",NA,3.8871891491336,1.04171718989203
"beta","Carmacks",NA,8.57604359949254e-05,2.74931532905883e-05
"logR","Carmacks",1985,9.06274479654549,0.362340899383251
"logR","Carmacks",1986,10.0128086634089,0.279004724513457
"logR","Carmacks",1987,9.43490592178184,0.368862502500873
"logR","Carmacks",1988,9.84552683004464,0.310446041369388
"logR","Carmacks",1989,9.87731175957669,0.328467308983861
"logR","Carmacks",1990,8.81751859588167,0.516904733125773
"logR","Carmacks",1991,10.8448574356156,0.145347447113592
"logR","Carmacks",1992,8.89456611562498,0.45526857420971
"logR","Carmacks",1993,9.87888343716664,0.261662773632776
"logR","Carmacks",1994,9.44167755883288,0.21067025436939
"logR","Carmacks",1995,8.56634045337601,0.389943213421662
"logR","Carmacks",1996,8.99034611141744,0.330470618789917
"logR","Carmacks",1997,9.68744980627381,0.212305263093859
"logR","Carmacks",1998,9.47294026571161,0.247880070801819
"logR","Carmacks",1999,9.06802825307524,0.318592746713288
"logR","Carmacks",2000,10.5958037774704,0.0956670847481857
"logR","Carmacks",2001,9.69501264063628,0.142624235184196
"logR","Carmacks",2002,8.94210871196809,0.369968917301571
"logR","Carmacks",2003,10.0189603304537,0.0641160929765936
"logR","Carmacks",2004,9.23449664637129,0.118905097139121
"logR","Carmacks",2005,9.72278681759479,0.0974310436358803
"logR","Carmacks",2006,9.07215985609407,0.119026963990458
"logR","Carmacks",2007,9.21969466720605,0.065154280827339
"logR","Carmacks",2008,8.95835300723746,0.145247939207469
"logR","Carmacks",2009,9.76483241946083,0.0719656083693833
"logR","Carmacks",2010,9.51226072225144,0.0805131229777413
"logR","Carmacks",2011,9.98038255902119,0.0747250676098747
"logR","Carmacks",2012,9.73971081786221,0.0796622664555364
"logR","Carmacks",2013,9.65116720968852,0.139411477995598
"logR","Carmacks",2014,10.0394146233203,0.27165938538138
"logR","Carmacks",2015,9.3787166481025,0.694390668384175
"logR_resid","Carmacks",1985,-0.1959671422747,0.410624642012048
"logR_resid","Carmacks",1986,0.489332219395204,0.318768182356306
"logR_resid","Carmacks",1987,0.0599545564748418,0.391621209287277
"logR_resid","Carmacks",1988,0.451173481228203,0.377894396051355
"logR_resid","Carmacks",1989,0.599365277566483,0.355991267343706
"logR_resid","Carmacks",1990,-0.0610595805675724,0.657186601098744
"logR_resid","Carmacks",1991,1.38249433774966,0.237326173399409
"logR_resid","Carmacks",1992,-0.658739040753502,0.481810123284024
"logR_resid","Carmacks",1993,0.459163475322817,0.295020709399128
"logR_resid","Carmacks",1994,-0.0206936222743852,0.272169628703434
"logR_resid","Carmacks",1995,-1.02517196551492,0.393617166548758
"logR_resid","Carmacks",1996,-0.667252236472794,0.360048253321412
"logR_resid","Carmacks",1997,0.0572496672918555,0.292112369040238
"logR_resid","Carmacks",1998,0.115166379354681,0.305469446452669
"logR_resid","Carmacks",1999,-0.369954647662515,0.370359181424265
