Year,Population,Subrigion,RiverBasin,logspawners,logrecruits,spawn.error,rec.error,SummerSST,WinterSST,MarineCompetitorsIndex,IceConcentrationIndex,BodySize,Uwind,RiverIceBreakup,max5dprcp_stand,maxq_spawn,mean_swe_icu,mean_swe_rear,medq_rear,mnprcp_rear_stand,maxDaily_spawn_stand,maxDaily_migrate,cdd_rear
2000,Aniak,Kuskokwim,Kuskokwim,8.309964961,10.4778265,0.120298356,0.481827958,-2.227206339,1.238742079,0.226912612,-0.369853905,-0.13581215,-0.705744345,0.406154474,2.792201647,-1.229909191,-0.333793168,1.180799275,0.284231854,2.582978245,-1.236264689,1.584953714,0.842754861
2001,Aniak,Kuskokwim,Kuskokwim,9.257830937,10.66465267,0.21774768,0.413249998,0.488203232,0.27622058,0.395191846,-1.089806972,-0.128795344,0.153704485,-0.9787657,0.436962603,-0.611676778,1.180799275,-0.738472686,-1.12443866,-0.14831931,0.842754861,-1.519306721,0.291875521
2002,Aniak,Kuskokwim,Kuskokwim,9.675997242,10.44691248,0.096588713,0.412285989,0.24373751,1.040137648,0.358632698,-0.945816289,-0.315433857,0.742252827,-0.9787657,0.618378343,-0.588703389,-0.738472686,-0.435323164,-0.02570405,-0.210989894,0.291875521,1.878364155,-0.811661119
2003,Aniak,Kuskokwim,Kuskokwim,10.02285094,10.58926336,0.107429527,0.354545766,-0.019128857,-0.734980547,0.342849731,-1.125804589,0.251120119,0.914348523,-0.170895598,1.22670706,0.223892342,-0.435323164,0.164107186,-1.767496512,0.028296532,-0.811661119,0.034513576,0.71785293
2004,Aniak,Kuskokwim,Kuskokwim,10.2622276,9.744430507,0.104137786,0.575834878,0.622265079,-0.846140732,0.15124071,-0.270860377,-0.472618992,-0.311288039,1.444844604,0.288969563,-1.449065493,0.164107186,-0.000241861,-0.830827699,0.597526346,0.71785293,0.32361089,0.708994579
2005,Aniak,Kuskokwim,Kuskokwim,10.37075404,9.289216528,0.099359111,0.318542124,0.758955589,-1.121271254,-0.073680463,0.404095588,-0.448089009,-2.127747297,-0.863355685,0.368900109,-0.265257292,-0.000241861,-0.345719803,-0.26087679,0.204374621,0.708994579,1.62142766,-0.385263761
2006,Aniak,Kuskokwim,Kuskokwim,10.31007105,8.568600411,0.108413068,0.43389285,1.593556304,-1.085155005,0.394201158,1.844001615,-0.773056323,1.042119424,0.29074446,-0.267727875,2.892208984,-0.345719803,-0.744844446,-0.19794324,0.428325923,-0.385263761,0.986785343,-0.066667902
2007,Aniak,Kuskokwim,Kuskokwim,10.04842552,8.812232225,0.089110067,0.334090641,-0.003356875,-0.754324274,0.221592639,2.086985746,-1.723885667,-1.128539204,-0.170895598,-0.299291568,-0.288230681,-0.744844446,1.450640725,0.183916722,-0.635426004,-0.066667902,0.992155065,0.494286298
2008,Aniak,Kuskokwim,Kuskokwim,9.712017194,9.260184581,0.104401246,0.416504565,2.224435585,-0.842695959,0.244546513,1.924996468,-0.940204655,0.910072248,0.752384517,-0.815611465,-1.256862996,1.450640725,0.972314613,-1.120653183,-0.992182979,0.494286298,-1.577920778,1.780132029
2009,Aniak,Kuskokwim,Kuskokwim,9.493952382,9.864664544,0.197036526,0.252134771,0.702439321,-1.793482516,0.450328684,0.440093232,-0.397059713,-0.441855231,0.059924431,-0.697146169,-0.449043822,0.972314613,-0.40407601,0.732337657,-0.614930154,1.780132029,0.325942665,-0.226464444
2010,Aniak,Kuskokwim,Kuskokwim,8.387694591,9.111585361,0.255416543,0.30425344,-0.674980442,-1.389752462,0.776374563,2.806938732,-1.486390459,0.035055439,0.521564488,-0.616302904,0.464884741,-0.40407601,0.358898375,0.430919076,-0.819487111,-0.226464444,-0.157317134,-0.348919224
2011,Aniak,Kuskokwim,Kuskokwim,8.31216441,9.048050122,0.118997361,0.31566814,1.229486386,0.400999704,0.869724829,1.394030972,-1.519215157,-0.677629351,2.137304691,0.570309756,-0.533089803,0.358898375,0.530591711,1.593533604,1.167711903,-0.348919224,-0.724651433,-0.905331723
2012,Aniak,Kuskokwim,Kuskokwim,8.486710886,9.329276417,0.109719248,0.349966268,1.901109954,1.026358554,1.287236284,-1.107805781,-0.855110859,0.789675236,-0.9787657,-0.064802718,1.419187238,0.530591711,0.344275079,-1.196835901,-0.898497694,-0.905331723,-1.290840563,0.941599661
