Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Salmon River (Aniak) Escapement,,,2006,08/12,Salmon River (Aniak),Chinook,5,5,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/13,Salmon River (Aniak),Chinook,2,2,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/14,Salmon River (Aniak),Chinook,2,2,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/15,Salmon River (Aniak),Chinook,2,2,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/16,Salmon River (Aniak),Chinook,1,1,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/17,Salmon River (Aniak),Chinook,1,1,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/18,Salmon River (Aniak),Chinook,1,1,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/19,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/20,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/21,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/22,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/23,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/24,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/25,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/26,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/27,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/28,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/29,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/30,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/31,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,09/01,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,09/02,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,09/03,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,09/04,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,09/05,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
