Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count,Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/12,Eagle Sonar (Yukon/Canadian Border),Chinook,269,269,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/13,Eagle Sonar (Yukon/Canadian Border),Chinook,398,398,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/14,Eagle Sonar (Yukon/Canadian Border),Chinook,791,791,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/15,Eagle Sonar (Yukon/Canadian Border),Chinook,1056,1056,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/16,Eagle Sonar (Yukon/Canadian Border),Chinook,1836,1836,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/17,Eagle Sonar (Yukon/Canadian Border),Chinook,2072,2072,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/18,Eagle Sonar (Yukon/Canadian Border),Chinook,2835,2835,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/19,Eagle Sonar (Yukon/Canadian Border),Chinook,3174,3174,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/20,Eagle Sonar (Yukon/Canadian Border),Chinook,3272,3272,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/21,Eagle Sonar (Yukon/Canadian Border),Chinook,3165,3165,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/22,Eagle Sonar (Yukon/Canadian Border),Chinook,3510,3510,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/23,Eagle Sonar (Yukon/Canadian Border),Chinook,3355,3355,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/24,Eagle Sonar (Yukon/Canadian Border),Chinook,3344,3344,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/25,Eagle Sonar (Yukon/Canadian Border),Chinook,3648,3648,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/26,Eagle Sonar (Yukon/Canadian Border),Chinook,3833,3833,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/27,Eagle Sonar (Yukon/Canadian Border),Chinook,3350,3350,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/28,Eagle Sonar (Yukon/Canadian Border),Chinook,3853,3853,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/29,Eagle Sonar (Yukon/Canadian Border),Chinook,4269,4269,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/30,Eagle Sonar (Yukon/Canadian Border),Chinook,4232,4232,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,07/31,Eagle Sonar (Yukon/Canadian Border),Chinook,3699,3699,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/01,Eagle Sonar (Yukon/Canadian Border),Chinook,3236,3236,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/02,Eagle Sonar (Yukon/Canadian Border),Chinook,2487,2487,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/03,Eagle Sonar (Yukon/Canadian Border),Chinook,1824,1824,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/04,Eagle Sonar (Yukon/Canadian Border),Chinook,1527,1527,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/05,Eagle Sonar (Yukon/Canadian Border),Chinook,1430,1430,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/06,Eagle Sonar (Yukon/Canadian Border),Chinook,1308,1308,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/07,Eagle Sonar (Yukon/Canadian Border),Chinook,1020,1020,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/08,Eagle Sonar (Yukon/Canadian Border),Chinook,842,842,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/09,Eagle Sonar (Yukon/Canadian Border),Chinook,740,740,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/10,Eagle Sonar (Yukon/Canadian Border),Chinook,581,581,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/11,Eagle Sonar (Yukon/Canadian Border),Chinook,502,502,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/12,Eagle Sonar (Yukon/Canadian Border),Chinook,433,433,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/13,Eagle Sonar (Yukon/Canadian Border),Chinook,328,328,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/14,Eagle Sonar (Yukon/Canadian Border),Chinook,330,330,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/15,Eagle Sonar (Yukon/Canadian Border),Chinook,204,204,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/16,Eagle Sonar (Yukon/Canadian Border),Chinook,185,185,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2006,08/17,Eagle Sonar (Yukon/Canadian Border),Chinook,186,186,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/07,Eagle Sonar (Yukon/Canadian Border),Chinook,34,34,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/08,Eagle Sonar (Yukon/Canadian Border),Chinook,57,57,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/09,Eagle Sonar (Yukon/Canadian Border),Chinook,109,109,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/10,Eagle Sonar (Yukon/Canadian Border),Chinook,176,176,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/11,Eagle Sonar (Yukon/Canadian Border),Chinook,335,335,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/12,Eagle Sonar (Yukon/Canadian Border),Chinook,582,582,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/13,Eagle Sonar (Yukon/Canadian Border),Chinook,952,952,Single Run
