Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Salmon River (Pitka Fork) Escapement,,,1982,07/23,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1982,07/24,Salmon River (Pitka Fork),Chinook,14,14,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1982,07/25,Salmon River (Pitka Fork),Chinook,16,16,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1982,07/26,Salmon River (Pitka Fork),Chinook,25,25,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1982,07/27,Salmon River (Pitka Fork),Chinook,7,7,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1982,07/28,Salmon River (Pitka Fork),Chinook,13,13,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1982,07/29,Salmon River (Pitka Fork),Chinook,2,2,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1982,07/30,Salmon River (Pitka Fork),Chinook,6,6,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/03,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/04,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/05,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/06,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/07,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/08,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/09,Salmon River (Pitka Fork),Chinook,0,0,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/10,Salmon River (Pitka Fork),Chinook,0,0,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/11,Salmon River (Pitka Fork),Chinook,0,0,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/12,Salmon River (Pitka Fork),Chinook,0,0,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/13,Salmon River (Pitka Fork),Chinook,0,0,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/14,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/15,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/16,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/17,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/18,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/19,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/20,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/21,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/22,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/23,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/24,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/25,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/26,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/27,Salmon River (Pitka Fork),Chinook,19,19,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/28,Salmon River (Pitka Fork),Chinook,1,1,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/29,Salmon River (Pitka Fork),Chinook,81,81,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,06/30,Salmon River (Pitka Fork),Chinook,111,111,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/01,Salmon River (Pitka Fork),Chinook,35,35,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/02,Salmon River (Pitka Fork),Chinook,164,164,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/03,Salmon River (Pitka Fork),Chinook,102,102,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/04,Salmon River (Pitka Fork),Chinook,116,116,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/05,Salmon River (Pitka Fork),Chinook,15,15,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/06,Salmon River (Pitka Fork),Chinook,533,533,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/07,Salmon River (Pitka Fork),Chinook,248,248,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/08,Salmon River (Pitka Fork),Chinook,68,68,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/09,Salmon River (Pitka Fork),Chinook,87,87,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/10,Salmon River (Pitka Fork),Chinook,113,113,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/11,Salmon River (Pitka Fork),Chinook,341,341,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/12,Salmon River (Pitka Fork),Chinook,624,624,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/13,Salmon River (Pitka Fork),Chinook,380,380,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/14,Salmon River (Pitka Fork),Chinook,240,240,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/15,Salmon River (Pitka Fork),Chinook,905,905,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/16,Salmon River (Pitka Fork),Chinook,147,147,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/17,Salmon River (Pitka Fork),Chinook,112,112,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/18,Salmon River (Pitka Fork),Chinook,271,271,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/19,Salmon River (Pitka Fork),Chinook,68,68,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/20,Salmon River (Pitka Fork),Chinook,221,221,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/21,Salmon River (Pitka Fork),Chinook,331,331,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/22,Salmon River (Pitka Fork),Chinook,398,398,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/23,Salmon River (Pitka Fork),Chinook,295,295,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/24,Salmon River (Pitka Fork),Chinook,243,243,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/25,Salmon River (Pitka Fork),Chinook,112,112,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/26,Salmon River (Pitka Fork),Chinook,100,100,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/27,Salmon River (Pitka Fork),Chinook,82,82,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/28,Salmon River (Pitka Fork),Chinook,55,55,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/29,Salmon River (Pitka Fork),Chinook,148,148,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/30,Salmon River (Pitka Fork),Chinook,26,26,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,07/31,Salmon River (Pitka Fork),Chinook,67,67,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/01,Salmon River (Pitka Fork),Chinook,100,100,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/02,Salmon River (Pitka Fork),Chinook,39,39,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/03,Salmon River (Pitka Fork),Chinook,20,20,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/04,Salmon River (Pitka Fork),Chinook,30,30,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/05,Salmon River (Pitka Fork),Chinook,22,22,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/06,Salmon River (Pitka Fork),Chinook,16,16,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/07,Salmon River (Pitka Fork),Chinook,14,14,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/08,Salmon River (Pitka Fork),Chinook,5,5,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/09,Salmon River (Pitka Fork),Chinook,14,14,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/10,Salmon River (Pitka Fork),Chinook,9,9,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/11,Salmon River (Pitka Fork),Chinook,5,5,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/12,Salmon River (Pitka Fork),Chinook,6,6,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/13,Salmon River (Pitka Fork),Chinook,5,5,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/14,Salmon River (Pitka Fork),Chinook,2,2,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/15,Salmon River (Pitka Fork),Chinook,10,10,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/16,Salmon River (Pitka Fork),Chinook,2,2,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/17,Salmon River (Pitka Fork),Chinook,2,2,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/18,Salmon River (Pitka Fork),Chinook,3,3,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/19,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/20,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/21,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/22,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/23,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/24,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/25,Salmon River (Pitka Fork),Chinook,0,0,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/26,Salmon River (Pitka Fork),Chinook,0,0,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/27,Salmon River (Pitka Fork),Chinook,0,0,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/28,Salmon River (Pitka Fork),Chinook,0,0,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/29,Salmon River (Pitka Fork),Chinook,0,0,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2015,08/30,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/03,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/04,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/05,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/06,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/07,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/08,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/09,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/10,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/11,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/12,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/13,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/14,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/15,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/16,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/17,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/18,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/19,Salmon River (Pitka Fork),Chinook,,,No Data,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/20,Salmon River (Pitka Fork),Chinook,0,0,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/21,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/22,Salmon River (Pitka Fork),Chinook,2,2,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/23,Salmon River (Pitka Fork),Chinook,4,4,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/24,Salmon River (Pitka Fork),Chinook,43,43,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/25,Salmon River (Pitka Fork),Chinook,69,69,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/26,Salmon River (Pitka Fork),Chinook,23,23,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/27,Salmon River (Pitka Fork),Chinook,81,81,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/28,Salmon River (Pitka Fork),Chinook,22,22,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/29,Salmon River (Pitka Fork),Chinook,73,73,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,06/30,Salmon River (Pitka Fork),Chinook,190,190,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/01,Salmon River (Pitka Fork),Chinook,227,227,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/02,Salmon River (Pitka Fork),Chinook,348,348,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/03,Salmon River (Pitka Fork),Chinook,398,398,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/04,Salmon River (Pitka Fork),Chinook,218,218,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/05,Salmon River (Pitka Fork),Chinook,473,473,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/06,Salmon River (Pitka Fork),Chinook,143,143,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/07,Salmon River (Pitka Fork),Chinook,82,82,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/08,Salmon River (Pitka Fork),Chinook,73,73,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/09,Salmon River (Pitka Fork),Chinook,307,307,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/10,Salmon River (Pitka Fork),Chinook,253,253,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/11,Salmon River (Pitka Fork),Chinook,73,73,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/12,Salmon River (Pitka Fork),Chinook,139,139,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/13,Salmon River (Pitka Fork),Chinook,165,165,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/14,Salmon River (Pitka Fork),Chinook,112,112,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/15,Salmon River (Pitka Fork),Chinook,117,117,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/16,Salmon River (Pitka Fork),Chinook,234,234,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/17,Salmon River (Pitka Fork),Chinook,274,274,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/18,Salmon River (Pitka Fork),Chinook,88,88,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/19,Salmon River (Pitka Fork),Chinook,130,130,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/20,Salmon River (Pitka Fork),Chinook,272,272,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/21,Salmon River (Pitka Fork),Chinook,553,553,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/22,Salmon River (Pitka Fork),Chinook,216,216,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/23,Salmon River (Pitka Fork),Chinook,160,160,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/24,Salmon River (Pitka Fork),Chinook,139,139,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/25,Salmon River (Pitka Fork),Chinook,124,124,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/26,Salmon River (Pitka Fork),Chinook,172,172,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/27,Salmon River (Pitka Fork),Chinook,65,65,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/28,Salmon River (Pitka Fork),Chinook,44,44,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/29,Salmon River (Pitka Fork),Chinook,42,42,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/30,Salmon River (Pitka Fork),Chinook,45,45,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,07/31,Salmon River (Pitka Fork),Chinook,36,36,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/01,Salmon River (Pitka Fork),Chinook,24,24,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/02,Salmon River (Pitka Fork),Chinook,19,19,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/03,Salmon River (Pitka Fork),Chinook,19,19,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/04,Salmon River (Pitka Fork),Chinook,23,23,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/05,Salmon River (Pitka Fork),Chinook,12,12,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/06,Salmon River (Pitka Fork),Chinook,4,4,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/07,Salmon River (Pitka Fork),Chinook,13,13,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/08,Salmon River (Pitka Fork),Chinook,11,11,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/09,Salmon River (Pitka Fork),Chinook,2,2,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/10,Salmon River (Pitka Fork),Chinook,3,3,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/11,Salmon River (Pitka Fork),Chinook,3,3,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/12,Salmon River (Pitka Fork),Chinook,3,3,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/13,Salmon River (Pitka Fork),Chinook,2,2,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/14,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/15,Salmon River (Pitka Fork),Chinook,2,2,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/16,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/17,Salmon River (Pitka Fork),Chinook,2,2,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/18,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/19,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/20,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/21,Salmon River (Pitka Fork),Chinook,2,2,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/22,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/23,Salmon River (Pitka Fork),Chinook,0,0,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2016,08/24,Salmon River (Pitka Fork),Chinook,1,1,Estimated,Weir
Salmon River (Pitka Fork) Escapement,,,2017,06/20,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,2017,06/21,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
