Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Goodnews River (Middle Fork) Escapement,,,1991,08/16,Goodnews River (Middle Fork),Chinook,0,0,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/17,Goodnews River (Middle Fork),Chinook,0,0,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/18,Goodnews River (Middle Fork),Chinook,0,0,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/19,Goodnews River (Middle Fork),Chinook,0,0,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/20,Goodnews River (Middle Fork),Chinook,1,1,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/21,Goodnews River (Middle Fork),Chinook,0,0,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/22,Goodnews River (Middle Fork),Chinook,2,2,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/23,Goodnews River (Middle Fork),Chinook,2,2,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/24,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/25,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/26,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/27,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/28,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/29,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/30,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/31,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,06/22,Goodnews River (Middle Fork),Chinook,1,1,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,06/23,Goodnews River (Middle Fork),Chinook,0,0,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,06/24,Goodnews River (Middle Fork),Chinook,1,1,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,06/25,Goodnews River (Middle Fork),Chinook,1,1,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,06/26,Goodnews River (Middle Fork),Chinook,0,0,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,06/27,Goodnews River (Middle Fork),Chinook,34,34,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,06/28,Goodnews River (Middle Fork),Chinook,31,31,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,06/29,Goodnews River (Middle Fork),Chinook,1,1,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,06/30,Goodnews River (Middle Fork),Chinook,4,4,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/01,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/02,Goodnews River (Middle Fork),Chinook,11,11,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/03,Goodnews River (Middle Fork),Chinook,16,16,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/04,Goodnews River (Middle Fork),Chinook,26,26,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/05,Goodnews River (Middle Fork),Chinook,39,39,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/06,Goodnews River (Middle Fork),Chinook,52,52,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/07,Goodnews River (Middle Fork),Chinook,66,66,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/08,Goodnews River (Middle Fork),Chinook,76,76,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/09,Goodnews River (Middle Fork),Chinook,6,6,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/10,Goodnews River (Middle Fork),Chinook,16,16,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/11,Goodnews River (Middle Fork),Chinook,20,20,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/12,Goodnews River (Middle Fork),Chinook,87,87,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/13,Goodnews River (Middle Fork),Chinook,86,86,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/14,Goodnews River (Middle Fork),Chinook,59,59,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/15,Goodnews River (Middle Fork),Chinook,54,54,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/16,Goodnews River (Middle Fork),Chinook,64,64,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/17,Goodnews River (Middle Fork),Chinook,151,151,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/18,Goodnews River (Middle Fork),Chinook,66,66,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/19,Goodnews River (Middle Fork),Chinook,41,41,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/20,Goodnews River (Middle Fork),Chinook,60,60,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/21,Goodnews River (Middle Fork),Chinook,52,52,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/22,Goodnews River (Middle Fork),Chinook,82,82,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/23,Goodnews River (Middle Fork),Chinook,69,69,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/24,Goodnews River (Middle Fork),Chinook,45,45,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/25,Goodnews River (Middle Fork),Chinook,46,46,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/26,Goodnews River (Middle Fork),Chinook,54,54,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/27,Goodnews River (Middle Fork),Chinook,50,50,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/28,Goodnews River (Middle Fork),Chinook,33,33,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/29,Goodnews River (Middle Fork),Chinook,30,30,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/30,Goodnews River (Middle Fork),Chinook,48,48,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,07/31,Goodnews River (Middle Fork),Chinook,17,17,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/01,Goodnews River (Middle Fork),Chinook,16,16,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/02,Goodnews River (Middle Fork),Chinook,10,10,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/03,Goodnews River (Middle Fork),Chinook,1,1,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/04,Goodnews River (Middle Fork),Chinook,9,9,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/05,Goodnews River (Middle Fork),Chinook,8,8,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/06,Goodnews River (Middle Fork),Chinook,7,7,Estimated,Weir
