Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kogrukluk River Escapement,,,1981,08/29,Kogrukluk River,Chinook,2,2,Counted,Weir
Kogrukluk River Escapement,,,1981,08/30,Kogrukluk River,Chinook,1,1,Counted,Weir
Kogrukluk River Escapement,,,1981,08/31,Kogrukluk River,Chinook,2,2,Counted,Weir
Kogrukluk River Escapement,,,1981,09/01,Kogrukluk River,Chinook,1,1,Counted,Weir
Kogrukluk River Escapement,,,1981,09/02,Kogrukluk River,Chinook,0,0,Counted,Weir
Kogrukluk River Escapement,,,1981,09/03,Kogrukluk River,Chinook,2,2,Counted,Weir
Kogrukluk River Escapement,,,1981,09/04,Kogrukluk River,Chinook,1,1,Counted,Weir
Kogrukluk River Escapement,,,1981,09/05,Kogrukluk River,Chinook,1,1,Counted,Weir
Kogrukluk River Escapement,,,1981,09/06,Kogrukluk River,Chinook,0,0,Counted,Weir
Kogrukluk River Escapement,,,1981,09/07,Kogrukluk River,Chinook,3,3,Counted,Weir
Kogrukluk River Escapement,,,1981,09/08,Kogrukluk River,Chinook,1,1,Counted,Weir
Kogrukluk River Escapement,,,1981,09/09,Kogrukluk River,Chinook,1,1,Counted,Weir
Kogrukluk River Escapement,,,1981,09/10,Kogrukluk River,Chinook,0,0,Counted,Weir
Kogrukluk River Escapement,,,1981,09/11,Kogrukluk River,Chinook,1,1,Counted,Weir
Kogrukluk River Escapement,,,1981,09/12,Kogrukluk River,Chinook,0,0,Counted,Weir
Kogrukluk River Escapement,,,1981,09/13,Kogrukluk River,Chinook,0,0,Counted,Weir
Kogrukluk River Escapement,,,1981,09/14,Kogrukluk River,Chinook,2,2,Counted,Weir
Kogrukluk River Escapement,,,1981,09/15,Kogrukluk River,Chinook,0,0,Counted,Weir
Kogrukluk River Escapement,,,1981,09/16,Kogrukluk River,Chinook,0,0,Counted,Weir
Kogrukluk River Escapement,,,1981,09/17,Kogrukluk River,Chinook,1,1,Counted,Weir
Kogrukluk River Escapement,,,1981,09/18,Kogrukluk River,Chinook,0,0,Counted,Weir
Kogrukluk River Escapement,,,1981,09/19,Kogrukluk River,Chinook,0,0,Counted,Weir
