Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Tatlawiksuk River Escapement,,,1999,06/15,Tatlawiksuk River,Chinook,0,0,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/16,Tatlawiksuk River,Chinook,0,0,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/17,Tatlawiksuk River,Chinook,0,0,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/18,Tatlawiksuk River,Chinook,0,0,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/19,Tatlawiksuk River,Chinook,0,0,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/20,Tatlawiksuk River,Chinook,0,0,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/21,Tatlawiksuk River,Chinook,0,0,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/22,Tatlawiksuk River,Chinook,0,0,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/23,Tatlawiksuk River,Chinook,4,4,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/24,Tatlawiksuk River,Chinook,2,2,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/25,Tatlawiksuk River,Chinook,2,2,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/26,Tatlawiksuk River,Chinook,6,6,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/27,Tatlawiksuk River,Chinook,4,4,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/28,Tatlawiksuk River,Chinook,14,14,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/29,Tatlawiksuk River,Chinook,5,5,Counted,Weir
Tatlawiksuk River Escapement,,,1999,06/30,Tatlawiksuk River,Chinook,2,2,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/01,Tatlawiksuk River,Chinook,16,16,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/02,Tatlawiksuk River,Chinook,5,5,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/03,Tatlawiksuk River,Chinook,13,13,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/04,Tatlawiksuk River,Chinook,26,26,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/05,Tatlawiksuk River,Chinook,14,14,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/06,Tatlawiksuk River,Chinook,15,15,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/07,Tatlawiksuk River,Chinook,14,14,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/08,Tatlawiksuk River,Chinook,13,13,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/09,Tatlawiksuk River,Chinook,21,21,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/10,Tatlawiksuk River,Chinook,40,40,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/11,Tatlawiksuk River,Chinook,78,78,Estimated,Weir
Tatlawiksuk River Escapement,,,1999,07/12,Tatlawiksuk River,Chinook,118,118,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/13,Tatlawiksuk River,Chinook,54,54,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/14,Tatlawiksuk River,Chinook,64,64,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/15,Tatlawiksuk River,Chinook,24,24,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/16,Tatlawiksuk River,Chinook,65,65,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/17,Tatlawiksuk River,Chinook,6,6,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/18,Tatlawiksuk River,Chinook,146,146,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/19,Tatlawiksuk River,Chinook,20,20,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/20,Tatlawiksuk River,Chinook,381,381,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/21,Tatlawiksuk River,Chinook,18,18,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/22,Tatlawiksuk River,Chinook,9,9,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/23,Tatlawiksuk River,Chinook,86,86,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/24,Tatlawiksuk River,Chinook,46,46,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/25,Tatlawiksuk River,Chinook,33,33,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/26,Tatlawiksuk River,Chinook,18,18,Counted,Weir
Tatlawiksuk River Escapement,,,1999,07/27,Tatlawiksuk River,Chinook,15,15,Estimated,Weir
