name,year,doy,mean_swe_kgm2,min_swe_kgm2,max_swe_kgm2,sum_swe_kgm2,count,nodata_count
Togiak_MFLR,1980,92,8.683764227505389,0.0,31.780000686645508,6043.89990234375,696,0.0
OSM_Henshaw,1980,92,70.98747498570611,54.540000915527344,98.62000274658203,124157.09375,1749,0.0
OSM_Sheenjek,1980,92,77.22472711267605,34.849998474121094,227.42999267578125,1096591.125,14200,0.0
OSM_Gisasa,1980,92,68.32240880782918,47.18000030517578,107.95999908447266,95992.984375,1405,0.0
adfg_Rapids,1980,92,99.73451146412826,25.110000610351562,2656.2099609375,54608036.0,547534,0.0
avf_09EA001,1980,92,112.39041313559322,60.88999938964844,178.30999755859375,132620.6875,1180,0.0
OSM_Salmon_Pitka_Fork,1980,92,74.16629028320312,46.849998474121094,108.5199966430664,37973.140625,512,0.0
avf_Blind,1980,92,130.52382046568627,92.16000366210938,179.8300018310547,66567.1484375,510,0.0
OSM_Tuluksak,1980,92,28.05861626440922,19.350000381469727,51.040000915527344,29209.01953125,1041,0.0
OSM_Kogrukluk,1980,92,23.72504308780842,13.510000228881836,34.02000045776367,49039.6640625,2067,0.0
usgs-osm_Anvik,1980,92,81.77438490002596,63.06999969482422,123.20999908447266,314913.15625,3851,0.0
avf_09AH002,1980,92,95.27327433166249,74.87999725341797,145.67999267578125,114042.109375,1197,0.0
OSM_Unalakleet,1980,92,85.11908251662584,58.59000015258789,137.1300048828125,486370.4375,5714,0.0
OSM_Salcha,1980,92,71.41896969448095,33.70000076293945,154.9499969482422,434798.6875,6088,0.0
avf_09DD002,1980,92,78.24862650719564,47.20000076293945,155.36000061035156,402354.4375,5142,0.0
OSM_Tatlawiksuk,1980,92,33.78096323164682,17.299999237060547,84.66000366210938,68102.421875,2016,0.0
OSM_Chena,1980,92,61.78469004818384,38.45000076293945,95.31999969482422,250042.640625,4047,0.0
OSM_Kwethluk,1980,92,19.160265976123597,7.039999961853027,42.279998779296875,37515.80078125,1958,0.0
avf_09AH005,1980,92,115.74444237035026,81.87999725341797,163.7899932861328,426286.78125,3683,0.0
avf_09AC002,1980,92,319.12647740440326,85.2699966430664,1090.260009765625,1377030.75,4315,0.0
OSM_Aniak,1980,92,28.45130884494055,14.079999923706055,49.939998626708984,117247.84375,4121,0.0
adfg_Eagle,1980,92,118.81498448993766,31.18000030517578,2656.2099609375,35583068.0,299483,0.0
OSM_Takotna,1980,92,36.634640957446805,28.709999084472656,74.5,84369.578125,2303,0.0
OSM_EF_Andreafsky,1980,92,78.38466151385927,55.529998779296875,111.73999786376953,147049.625,1876,0.0
avf_09DD003,1980,92,88.03931962879034,40.119998931884766,205.13999938964844,3263441.5,37068,0.0
avf_09BC001,1980,92,117.87119100072134,52.08000183105469,230.75999450683594,6045967.0,51293,0.0
adfg_Kuskokwim_Sonar,1980,92,67.37137687764329,0.0,1442.550048828125,7391448.5,109712,0.0
adfg_Bethel_Test_Fishery,1980,92,66.85267511566364,0.0,1442.550048828125,7427198.5,111098,0.0
OSM_George,1980,92,36.648290496318516,24.049999237060547,57.380001068115234,134389.28125,3667,0.0
avf_Teslin,1980,92,191.79949535784982,77.43000030517578,485.54998779296875,6879272.5,35867,0.0
avf_Yukon_mm,1980,92,192.95470374789957,63.189998626708984,2656.2099609375,15846598.0,82126,0.0
adfg_Kalskag_Fish_Wheel,1980,92,73.42472256409727,0.0,1442.550048828125,7099363.0,96689,0.0
usgs_15565447,1980,92,89.30277723653863,14.819999694824219,2656.2099609375,78831848.0,882748,0.0
Togiak_MFLR,1981,92,29.167328933189655,13.710000038146973,66.4800033569336,20300.4609375,696,0.0
OSM_Henshaw,1981,92,105.87006861063465,84.12999725341797,166.39999389648438,185166.75,1749,0.0
OSM_Sheenjek,1981,92,81.51762323943662,40.72999954223633,248.80999755859375,1157550.25,14200,0.0
OSM_Gisasa,1981,92,188.89762010676156,66.75,375.2799987792969,265401.15625,1405,0.0
adfg_Rapids,1981,92,108.67128616670381,17.18000030517578,2437.860107421875,59501224.0,547534,0.0
avf_09EA001,1981,92,132.4122219279661,68.7699966430664,193.75999450683594,156246.421875,1180,0.0
OSM_Salmon_Pitka_Fork,1981,92,102.94068145751953,72.47000122070312,178.2100067138672,52705.62890625,512,0.0
avf_Blind,1981,92,129.73820465686273,54.209999084472656,205.47000122070312,66166.484375,510,0.0
OSM_Tuluksak,1981,92,116.61332252641691,89.05000305175781,195.72000122070312,121394.46875,1041,0.0
OSM_Kogrukluk,1981,92,54.95914973391388,26.229999542236328,115.01000213623047,113600.5625,2067,0.0
usgs-osm_Anvik,1981,92,151.9393988574396,105.33999633789062,279.4200134277344,585118.625,3851,0.0
avf_09AH002,1981,92,72.34906276106933,42.65999984741211,153.99000549316406,86601.828125,1197,0.0
OSM_Unalakleet,1981,92,171.5154226461323,78.36000061035156,390.8999938964844,980039.125,5714,0.0
OSM_Salcha,1981,92,102.71830855781866,41.45000076293945,255.33999633789062,625349.0625,6088,0.0
avf_09DD002,1981,92,104.66343348891482,53.689998626708984,219.1999969482422,538179.375,5142,0.0
OSM_Tatlawiksuk,1981,92,48.600516183035715,1.0700000524520874,225.14999389648438,97978.640625,2016,0.0
OSM_Chena,1981,92,84.95504385964912,48.310001373291016,185.77999877929688,343813.0625,4047,0.0
OSM_Kwethluk,1981,92,88.1371456843718,65.69000244140625,157.6699981689453,172572.53125,1958,0.0
avf_09AH005,1981,92,112.49759876459409,41.560001373291016,222.25,414328.65625,3683,0.0
avf_09AC002,1981,92,382.321292004635,56.2400016784668,1292.010009765625,1649716.375,4315,0.0
OSM_Aniak,1981,92,114.0243114535307,55.33000183105469,206.6300048828125,469894.1875,4121,0.0
adfg_Eagle,1981,92,125.71647806386339,17.18000030517578,2437.860107421875,37649948.0,299483,0.0
OSM_Takotna,1981,92,81.08253500868433,48.869998931884766,146.41000366210938,186733.078125,2303,0.0
OSM_EF_Andreafsky,1981,92,153.9935367803838,116.30000305175781,225.82000732421875,288891.875,1876,0.0
avf_09DD003,1981,92,136.90145138664076,40.209999084472656,428.7200012207031,5074663.0,37068,0.0
avf_09BC001,1981,92,123.30771255336985,44.38999938964844,467.8800048828125,6324822.5,51293,0.0
adfg_Kuskokwim_Sonar,1981,92,117.43572261922124,0.0,1496.219970703125,12884108.0,109712,0.0
