SiteID,Waterbody_name,years_lst,Latitude,Longitude
avf_09DD002,Mcquesten River below Klondike Highway,"2014, 2015, 2016, 2017, 2018, 2019, 2020",63.5553,-137.4152
avf_09DD003,Stewart River at Stewart Crossing,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",63.38245,-136.6839333
avf_09EA001,North Klondike River at North Fork Bridge,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",64.0017,-138.5960167
OSM_Aniak,Aniak River,"2008, 2009, 2010, 2011",61.50272,-159.37423
OSM_Anvik,Anvik River,"2009, 2010, 2011, 2012, 2013, 2018, 2019",62.80346,-160.67873
OSM_Chandalar,Chandalar River,"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",66.700167,-146.04383
OSM_Chena,Chena River,"2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",64.79425,-147.15141
OSM_EF_Andreafsky,East Fork Andreafsky River,"2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2017",62.116444,-162.80672
OSM_George,George River,"2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019",61.925,-157.70167
OSM_Gisasa,Gisasa River,"2008, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",65.253317,-157.713917
OSM_Henshaw,Henshaw Creek,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",66.55633,-152.20997
OSM_Kogrukluk,Kogrukluk River,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2018",60.841111,-157.845556
OSM_Kwethluk,Kwethluk River,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",60.51828,-161.09245
OSM_Salcha,Salcha River,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",64.47726,-146.78262
OSM_Salmon,Salmon River,"2008, 2013, 2014, 2015, 2016",61.062777,-159.194444
OSM_Salmon_Pitka_Fork,Salmon River,"2015, 2016, 2017, 2018, 2019",62.88889,-154.51944
OSM_Sheenjek,Sheenjek River,"2009, 2010, 2011, 2012",66.78367,-144.46367
OSM_Takotna,Takotna River,"2008, 2009, 2010, 2011, 2012, 2013",62.98861,-156.06417
OSM_Tatlawiksuk,Tatlawiksuk River,"2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019",61.93485,-156.18997
OSM_Tuluksak,Tuluksak River,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",61.04402,-160.55415
OSM_Unalakleet,Unalakleet River,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",63.872307,-160.674408
usgs_15304010,CROOKED C AB AIRPORT RD NR CROOKED CREEK AK,"2017, 2018, 2019, 2020, 2021, 2022",61.889300599999984,-158.156842
usgs_15310002,MOSQUITO FORK 2 MI BL KECHUMSTUK C NR CHICKEN AK,"2015, 2016, 2017, 2018, 2019",64.03444439999996,-142.5283333
usgs_15330000,NF FORTYMILE R AB MF NR FRANKLIN AK,"2019, 2020",64.46683329999999,-142.21625
usgs_15331000,MF FORTYMILE R NR MOUTH NR CHICKEN AK,"2019, 2020",64.4708611,-142.2215
usgs_15348000,FORTYMILE R NR STEELE CREEK AK,"2014, 2015, 2016, 2017, 2018",64.30885519999998,-141.4045168
usgs_15392000,BIRCH C AB TWELVEMILE C NR MILLER HOUSE AK,"2011, 2012",65.39211570000002,-145.7149559
usgs_15446000,BIRCH C NR CIRCLE AK,"2021, 2022",65.71076290000005,-144.3358018
usgs_15457800,HESS C NR LIVENGOOD AK,"1971, 1972, 1976, 1977, 2014, 2015",65.66483427999998,-149.0989254
